73	15	6
73	15	7
73	15	4
73	69	189
73	69	32
73	15	36
73	15	5
73	15	38
73	15	169
73	15	1
73	15	55
73	15	3
73	72	189
73	72	32
73	15	152
73	15	40
73	23	203
73	23	58
73	152	4
73	152	6
73	152	7
73	23	55
73	152	73
7	15	6
7	15	7
7	15	4
7	15	36
7	15	38
7	15	5
7	15	55
7	58	6
7	58	7
7	58	4
7	15	3
7	15	169
7	58	5
7	15	1
7	15	40
7	15	39
7	15	152
7	15	58
7	15	56
7	58	38
7	58	1
7	15	60
7	15	59
7	15	157
7	15	86
7	15	119
7	69	189
7	15	37
7	69	32
7	58	3
7	15	41
7	58	157
7	58	32
7	15	117
7	15	35
7	15	0
7	15	153
7	15	32
7	58	39
7	25	481
7	25	482
7	58	117
7	120	104
7	120	15
7	120	106
7	120	58
7	120	55
7	120	117
7	120	311
7	120	267
7	58	187
7	58	188
7	58	152
7	72	189
7	72	32
7	23	203
7	23	58
7	58	154
7	152	4
7	152	6
7	152	7
7	152	73
7	23	55
86	15	6
86	15	7
86	15	4
86	15	55
86	15	36
86	69	189
86	15	38
86	15	58
86	15	5
86	69	32
86	15	56
86	15	60
86	15	59
86	15	169
86	15	1
86	15	3
86	15	40
86	15	119
86	15	152
86	72	189
86	15	35
86	72	32
86	15	39
86	23	203
86	23	58
86	15	157
86	58	6
86	23	55
30	8	9
30	8	29
30	8	16
30	8	33
30	8	10
30	19	115
30	6	123
30	6	129
30	6	128
30	8	27
30	8	34
30	8	53
30	8	49
30	17	67
30	17	164
30	17	268
30	6	126
30	17	32
30	8	18
30	8	31
30	17	168
30	8	19
30	15	6
30	8	30
30	8	17
30	3	16
30	3	9
30	3	29
30	17	75
30	6	131
30	6	132
30	8	26
30	3	33
30	3	10
30	38	128
30	6	121
30	38	129
30	38	126
30	38	123
30	6	35
30	3	27
30	8	12
30	8	8
30	3	34
30	8	22
30	15	7
30	15	4
30	17	54
30	8	21
30	66	6
30	66	7
30	3	53
30	66	4
30	3	49
30	45	31
30	45	29
30	45	33
30	17	198
30	45	9
30	17	196
30	45	10
30	45	30
30	8	23
30	45	17
30	8	148
30	66	3
30	45	16
30	8	28
30	66	38
30	45	27
30	8	111
30	77	31
30	77	29
30	77	33
30	66	169
30	77	10
30	77	9
30	66	157
30	45	26
30	8	69
30	8	108
30	66	152
30	45	53
30	45	49
30	17	213
30	77	17
30	77	30
30	3	18
30	77	27
30	17	163
30	48	3
30	48	73
30	48	6
30	48	4
30	48	7
30	48	32
30	48	157
30	48	86
30	66	0
30	77	16
30	48	152
30	48	38
30	48	153
30	48	42
30	48	0
30	8	76
30	48	170
30	66	153
30	15	55
30	15	38
30	66	36
30	48	155
30	66	40
30	15	36
30	48	5
30	48	154
30	77	53
30	48	67
30	3	31
30	48	1
30	8	70
30	77	49
30	48	2
30	45	18
30	48	74
30	3	19
30	48	11
30	77	26
30	43	196
30	43	67
30	43	453
30	43	198
30	43	170
30	43	259
30	43	44
30	43	194
30	48	169
30	66	86
30	48	30
30	8	51
30	66	1
30	66	32
30	45	34
30	48	72
30	48	197
30	17	257
30	15	5
30	66	42
30	66	39
30	48	127
30	3	30
30	66	5
30	77	34
30	48	55
30	48	175
30	3	17
30	48	109
30	38	132
30	38	131
30	48	15
